account_id,customer_id,account_type,account_status,open_date,balance,branch_code
ACC5001,CUST6557,Savings,Closed,2023-11-04,58653.82,BR837
ACC5002,CUST6104,Loan,Closed,2023-06-22,68885.23,BR882
ACC5003,CUST5509,Checking,Active,2022-03-01,6163.88,BR701
ACC5004,CUST2776,Investment,Pending Review,2025-02-05,52945.05,BR190
ACC5005,CUST7766,Credit,Pending Review,2024-04-12,27098.06,BR908
ACC5006,CUST8019,Loan,Closed,2019-03-29,76259.87,BR311
ACC5007,CUST1844,Loan,Pending Review,2023-04-15,29233.46,BR650
ACC5008,CUST1047,Loan,Inactive,2019-03-20,63845.01,BR316
ACC5009,CUST9428,Credit,Closed,2022-09-06,18540.64,BR853
ACC5010,CUST2892,Investment,Pending Review,2025-09-10,34222.43,BR861
ACC5011,CUST4027,Checking,Active,2019-02-16,77562.78,BR973
ACC5012,CUST8913,Checking,Closed,2019-04-13,51372.85,BR500
ACC5013,CUST5860,Credit,Inactive,2020-07-13,74899.94,BR250
ACC5014,CUST2663,Loan,Inactive,2023-12-08,65264.51,BR839
ACC5015,CUST1998,Credit,Active,2021-04-18,72081.68,BR796
ACC5016,CUST7526,Checking,Active,2023-11-03,66686.45,BR362
ACC5017,CUST6498,Savings,Active,2019-03-26,39309.03,BR574
ACC5018,CUST6034,Loan,Pending Review,2024-08-14,81326.12,BR436
ACC5019,CUST2970,Loan,Active,2026-03-11,4117.8,BR778
ACC5020,CUST9382,Investment,Closed,2026-03-16,9537.89,BR554
ACC5021,CUST7059,Loan,Inactive,2019-04-07,52024.06,BR203
ACC5022,CUST3548,Credit,Closed,2025-12-27,90805.6,BR312
ACC5023,CUST4831,Checking,Pending Review,2023-10-23,92652.18,BR938
ACC5024,CUST4940,Checking,Closed,2024-05-04,34886.4,BR850
ACC5025,CUST2274,Loan,Pending Review,2018-11-22,45220.06,BR118
ACC5026,CUST4637,Checking,Closed,2019-04-02,9122.21,BR421
ACC5027,CUST4395,Savings,Inactive,2018-07-17,61375.02,BR758
ACC5028,CUST4903,Credit,Active,2019-03-29,5546.55,BR112
ACC5029,CUST5617,Savings,Pending Review,2023-02-27,3428.32,BR349
ACC5030,CUST8857,Checking,Pending Review,2020-01-22,49558.45,BR974
ACC5031,CUST1228,Loan,Active,2024-12-28,18942.36,BR549
ACC5032,CUST3055,Loan,Closed,2023-01-04,41668.53,BR645
ACC5033,CUST9468,Savings,Inactive,2023-01-22,8406.38,BR561
ACC5034,CUST1148,Savings,Pending Review,2025-12-20,93638.95,BR376
ACC5035,CUST4731,Loan,Pending Review,2019-06-22,27299.29,BR433
ACC5036,CUST8538,Loan,Active,2024-02-22,855.96,BR947
ACC5037,CUST6116,Investment,Inactive,2024-07-22,26360.38,BR568
ACC5038,CUST1518,Credit,Active,2024-03-22,7065.17,BR468
ACC5039,CUST7017,Checking,Inactive,2021-08-12,95872.83,BR630
ACC5040,CUST2641,Credit,Pending Review,2023-11-13,42011.54,BR351
ACC5041,CUST3039,Investment,Active,2025-05-12,43894.77,BR421
ACC5042,CUST7830,Credit,Active,2022-08-09,55964.55,BR371
ACC5043,CUST3787,Loan,Active,2023-09-12,32463.01,BR499
ACC5044,CUST2459,Credit,Closed,2019-06-21,42417.46,BR617
ACC5045,CUST6570,Savings,Pending Review,2018-07-10,17278.38,BR143
ACC5046,CUST1366,Loan,Inactive,2024-08-25,10559.56,BR141
ACC5047,CUST3549,Loan,Closed,2024-06-06,48546.04,BR621
ACC5048,CUST1845,Loan,Inactive,2022-10-12,79949.08,BR695
ACC5049,CUST8612,Credit,Pending Review,2023-05-05,86735.35,BR802
ACC5050,CUST4742,Checking,Inactive,2024-06-22,98023.89,BR507
ACC5051,CUST8401,Loan,Active,2024-09-09,82558.74,BR248
ACC5052,CUST3019,Checking,Closed,2021-10-24,81367.27,BR798
ACC5053,CUST2233,Credit,Inactive,2018-07-05,77701.46,BR527
ACC5054,CUST8625,Investment,Active,2022-03-25,5038.92,BR527
ACC5055,CUST8130,Investment,Inactive,2020-03-28,93165.05,BR648
ACC5056,CUST1958,Loan,Pending Review,2019-12-14,4514.38,BR425
ACC5057,CUST9327,Savings,Closed,2023-12-09,4073.95,BR911
ACC5058,CUST4012,Savings,Closed,2023-01-27,42586.85,BR731
ACC5059,CUST9455,Investment,Closed,2019-11-30,44581.08,BR274
ACC5060,CUST5512,Investment,Active,2023-09-23,48307.03,BR894
ACC5061,CUST5573,Savings,Closed,2020-04-13,68830.44,BR381
ACC5062,CUST1516,Checking,Active,2024-03-01,98157.63,BR998
ACC5063,CUST8060,Checking,Closed,2023-12-07,1000.92,BR636
ACC5064,CUST1658,Investment,Pending Review,2022-12-18,84823.72,BR222
ACC5065,CUST2631,Checking,Closed,2020-07-29,88639.14,BR252
ACC5066,CUST3888,Checking,Pending Review,2018-08-29,29314.02,BR538
ACC5067,CUST1064,Loan,Active,2019-06-12,12141.57,BR180
ACC5068,CUST5371,Credit,Closed,2020-02-20,19890.82,BR592
ACC5069,CUST2219,Loan,Pending Review,2021-01-07,63804.78,BR860
ACC5070,CUST4011,Investment,Active,2021-08-06,33111.24,BR937
ACC5071,CUST1417,Investment,Inactive,2022-05-20,22485.05,BR155
ACC5072,CUST3364,Checking,Closed,2024-09-29,65076.53,BR770
ACC5073,CUST5920,Savings,Active,2019-12-25,53426.71,BR785
ACC5074,CUST7586,Checking,Closed,2021-02-09,64231.12,BR333
ACC5075,CUST1816,Savings,Inactive,2024-08-21,43557.14,BR596
ACC5076,CUST1373,Loan,Pending Review,2022-08-09,95978.1,BR142
ACC5077,CUST5229,Credit,Inactive,2019-03-23,47501.4,BR489
ACC5078,CUST1616,Savings,Active,2018-09-01,12587.56,BR312
ACC5079,CUST3355,Checking,Pending Review,2020-06-30,57424.89,BR472
ACC5080,CUST5560,Savings,Pending Review,2019-12-04,98557.41,BR157
ACC5081,CUST7066,Savings,Active,2020-10-01,18977.71,BR571
ACC5082,CUST4841,Savings,Inactive,2019-10-27,57847.64,BR628
ACC5083,CUST4310,Investment,Pending Review,2021-03-16,67861.17,BR241
ACC5084,CUST8750,Credit,Inactive,2019-05-07,49603.41,BR876
ACC5085,CUST9485,Savings,Closed,2020-05-11,13762.74,BR506
ACC5086,CUST4606,Checking,Closed,2022-11-20,93355.11,BR552
ACC5087,CUST6407,Savings,Closed,2024-10-16,30121.41,BR357
ACC5088,CUST2950,Investment,Closed,2022-08-09,44908.8,BR429
ACC5089,CUST9521,Savings,Closed,2025-06-22,14822.23,BR957
ACC5090,CUST5138,Checking,Active,2021-11-16,5781.52,BR108
ACC5091,CUST2601,Checking,Closed,2018-10-20,87612.1,BR611
ACC5092,CUST9165,Loan,Active,2023-11-22,16246.69,BR648
ACC5093,CUST3025,Loan,Active,2020-04-07,2984.6,BR110
ACC5094,CUST6050,Loan,Active,2018-06-28,55971.52,BR344
ACC5095,CUST9657,Savings,Active,2018-12-07,89788.7,BR315
ACC5096,CUST6886,Investment,Active,2025-03-24,10134.95,BR116
ACC5097,CUST1849,Credit,Active,2019-09-22,37898.78,BR919
ACC5098,CUST1298,Credit,Inactive,2022-07-13,71864.42,BR362
ACC5099,CUST7280,Savings,Pending Review,2026-02-17,5033.38,BR297
ACC5100,CUST1206,Credit,Pending Review,2025-11-30,65136.56,BR618
