account_id,customer_id,account_type,account_status,open_date,balance,branch_code
ACC5001,CUST5226,Loan,Closed,2019-03-15,17097.06,BR359
ACC5002,CUST4327,Savings,Inactive,2025-03-20,69051.48,BR842
ACC5003,CUST7707,Checking,Closed,2024-09-19,79083.36,BR907
ACC5004,CUST8053,Investment,Active,2022-12-01,94535.98,BR864
ACC5005,CUST7418,Savings,Closed,2022-10-04,82836.1,BR174
ACC5006,CUST2173,Loan,Closed,2025-11-01,6945.46,BR517
ACC5007,CUST5342,Savings,Active,2021-02-16,6667.99,BR339
ACC5008,CUST9552,Credit,Active,2025-01-01,93183.06,BR932
ACC5009,CUST2648,Investment,Inactive,2021-12-19,69963.39,BR334
ACC5010,CUST9078,Loan,Inactive,2023-09-27,30059.34,BR939
ACC5011,CUST1866,Loan,Active,2020-12-24,50517.21,BR364
ACC5012,CUST8007,Loan,Inactive,2021-05-10,23530.74,BR521
ACC5013,CUST3609,Credit,Active,2023-06-22,81091.34,BR986
ACC5014,CUST4795,Loan,Active,2024-04-19,39375.78,BR136
ACC5015,CUST8260,Savings,Pending Review,2025-01-21,44920.64,BR287
ACC5016,CUST8263,Credit,Closed,2023-10-10,37539.79,BR807
ACC5017,CUST9982,Savings,Inactive,2024-07-02,63453.77,BR763
ACC5018,CUST8655,Savings,Active,2021-03-31,25027.43,BR124
ACC5019,CUST3410,Investment,Pending Review,2024-06-26,83999.24,BR461
ACC5020,CUST5149,Savings,Pending Review,2022-03-01,8889.83,BR421
ACC5021,CUST8986,Investment,Pending Review,2023-01-12,30235.73,BR389
ACC5022,CUST1427,Savings,Inactive,2023-06-04,1837.93,BR231
ACC5023,CUST5066,Credit,Inactive,2024-10-23,93978.29,BR555
ACC5024,CUST5854,Loan,Closed,2019-03-04,10824.82,BR427
ACC5025,CUST9996,Credit,Active,2026-04-28,74358.79,BR339
ACC5026,CUST2431,Loan,Active,2025-02-28,63030.33,BR383
ACC5027,CUST5430,Checking,Pending Review,2022-12-10,93913.14,BR267
ACC5028,CUST5635,Savings,Pending Review,2019-04-30,79811.67,BR797
ACC5029,CUST9884,Checking,Inactive,2021-11-26,76486.43,BR279
ACC5030,CUST3234,Loan,Pending Review,2018-09-20,18097.75,BR687
