payroll_id,emp_id,pay_period,gross_pay,net_pay,tax_withheld
ID10000,ID10000,pay_period_0,gross_pay_0,net_pay_0,tax_withheld_0
ID10001,ID10001,pay_period_1,gross_pay_1,net_pay_1,tax_withheld_1
ID10002,ID10002,pay_period_2,gross_pay_2,net_pay_2,tax_withheld_2
ID10003,ID10003,pay_period_3,gross_pay_3,net_pay_3,tax_withheld_3
ID10004,ID10004,pay_period_4,gross_pay_4,net_pay_4,tax_withheld_4
ID10005,ID10005,pay_period_5,gross_pay_5,net_pay_5,tax_withheld_5
ID10006,ID10006,pay_period_6,gross_pay_6,net_pay_6,tax_withheld_6
ID10007,ID10007,pay_period_7,gross_pay_7,net_pay_7,tax_withheld_7
ID10008,ID10008,pay_period_8,gross_pay_8,net_pay_8,tax_withheld_8
ID10009,ID10009,pay_period_9,gross_pay_9,net_pay_9,tax_withheld_9
ID10010,ID10010,pay_period_10,gross_pay_10,net_pay_10,tax_withheld_10
ID10011,ID10011,pay_period_11,gross_pay_11,net_pay_11,tax_withheld_11
ID10012,ID10012,pay_period_12,gross_pay_12,net_pay_12,tax_withheld_12
ID10013,ID10013,pay_period_13,gross_pay_13,net_pay_13,tax_withheld_13
ID10014,ID10014,pay_period_14,gross_pay_14,net_pay_14,tax_withheld_14
ID10015,ID10015,pay_period_15,gross_pay_15,net_pay_15,tax_withheld_15
ID10016,ID10016,pay_period_16,gross_pay_16,net_pay_16,tax_withheld_16
ID10017,ID10017,pay_period_17,gross_pay_17,net_pay_17,tax_withheld_17
ID10018,ID10018,pay_period_18,gross_pay_18,net_pay_18,tax_withheld_18
ID10019,ID10019,pay_period_19,gross_pay_19,net_pay_19,tax_withheld_19
ID10020,ID10020,pay_period_20,gross_pay_20,net_pay_20,tax_withheld_20
ID10021,ID10021,pay_period_21,gross_pay_21,net_pay_21,tax_withheld_21
ID10022,ID10022,pay_period_22,gross_pay_22,net_pay_22,tax_withheld_22
ID10023,ID10023,pay_period_23,gross_pay_23,net_pay_23,tax_withheld_23
