detail_id,payroll_id,deduction_type,amount
f1cb67262e37ed4c,f1cb67262e37ed4c,deduction_type_0,100.0
d2f3325d50758b11,d2f3325d50758b11,deduction_type_1,137.45
980f4a6189ba0b0c,980f4a6189ba0b0c,deduction_type_2,174.9
24bd09c80b080ad0,24bd09c80b080ad0,deduction_type_3,212.35
417f477ab3d93a53,417f477ab3d93a53,deduction_type_4,249.8
01b52fe7579d75af,01b52fe7579d75af,deduction_type_5,287.25
07ee66018854257f,07ee66018854257f,deduction_type_6,324.7
3996ca1508fed071,3996ca1508fed071,deduction_type_7,362.15
be318b1897dca821,be318b1897dca821,deduction_type_8,399.6
1d5a3df7f09ebeca,1d5a3df7f09ebeca,deduction_type_9,437.05
871003abf7ddeade,871003abf7ddeade,deduction_type_10,474.5
04307a1fc8deefdd,04307a1fc8deefdd,deduction_type_11,511.95
57dfb0c8543972d4,57dfb0c8543972d4,deduction_type_12,549.4
168d4af6c2c2072c,168d4af6c2c2072c,deduction_type_13,586.85
ee769870a7865651,ee769870a7865651,deduction_type_14,624.3
03d65c364bf0abcc,03d65c364bf0abcc,deduction_type_15,661.75
18591623f590931f,18591623f590931f,deduction_type_16,699.2
8a0c4f12f9a29ee8,8a0c4f12f9a29ee8,deduction_type_17,736.65
16b3b2b6d638efc3,16b3b2b6d638efc3,deduction_type_18,774.1
f4cc325110b44398,f4cc325110b44398,deduction_type_19,811.55
0fafa3e497a18e1e,0fafa3e497a18e1e,deduction_type_20,849.0
eaeaff01a28f33a5,eaeaff01a28f33a5,deduction_type_21,886.45
10da0f65219d36e9,10da0f65219d36e9,deduction_type_22,923.9
f05eaa221fea7f57,f05eaa221fea7f57,deduction_type_23,961.35
4b176e8a1d6ba728,4b176e8a1d6ba728,deduction_type_24,998.8
1de704073c49f191,1de704073c49f191,deduction_type_25,1036.25
6357a03d6fd790e6,6357a03d6fd790e6,deduction_type_26,1073.7
450110e4471072e1,450110e4471072e1,deduction_type_27,1111.15
7ee9f49f2b5d40a2,7ee9f49f2b5d40a2,deduction_type_28,1148.6
89eae9f8f3441c06,89eae9f8f3441c06,deduction_type_29,1186.05
53f7fcadc201cace,53f7fcadc201cace,deduction_type_30,1223.5
349fcf7e351ec052,349fcf7e351ec052,deduction_type_31,1260.95
74c4a4a81abe6c89,74c4a4a81abe6c89,deduction_type_32,1298.4
d3af6293907e1d66,d3af6293907e1d66,deduction_type_33,1335.85
36fa0fef17007caf,36fa0fef17007caf,deduction_type_34,1373.3
7751bf8d187da31d,7751bf8d187da31d,deduction_type_35,1410.75
6bcf364cb6f0bacb,6bcf364cb6f0bacb,deduction_type_36,1448.2
3dac0e7706df16ea,3dac0e7706df16ea,deduction_type_37,1485.65
d39828a505d96f40,d39828a505d96f40,deduction_type_38,1523.1
916832ece443ca48,916832ece443ca48,deduction_type_39,1560.55
ca53fbfe650bad2e,ca53fbfe650bad2e,deduction_type_40,1598.0
85c542199fffa0fc,85c542199fffa0fc,deduction_type_41,1635.45
31320b01feed8714,31320b01feed8714,deduction_type_42,1672.9
1c2c11af032e1095,1c2c11af032e1095,deduction_type_43,1710.35
6796a981bf0cff82,6796a981bf0cff82,deduction_type_44,1747.8
10efebaae2cc05c4,10efebaae2cc05c4,deduction_type_45,1785.25
29884a303b2a291a,29884a303b2a291a,deduction_type_46,1822.7
b1bae357f25f0cdf,b1bae357f25f0cdf,deduction_type_47,1860.15
ec292bbb704f8f4f,ec292bbb704f8f4f,deduction_type_48,1897.6
8723f7f2a1dfbccd,8723f7f2a1dfbccd,deduction_type_49,1935.05
96a996dc506ffa51,96a996dc506ffa51,deduction_type_50,1972.5
f4ede74a232f7516,f4ede74a232f7516,deduction_type_51,2009.95
a5be64793d0a4e34,a5be64793d0a4e34,deduction_type_52,2047.4
d2d04b3f06a5cb8a,d2d04b3f06a5cb8a,deduction_type_53,2084.85
2569e2f43e727484,2569e2f43e727484,deduction_type_54,2122.3
938f4afb14cf66b5,938f4afb14cf66b5,deduction_type_55,2159.75
29dfdb2f6f860c72,29dfdb2f6f860c72,deduction_type_56,2197.2
516b083c8c3e4d46,516b083c8c3e4d46,deduction_type_57,2234.65
d281fe57a3fa21a9,d281fe57a3fa21a9,deduction_type_58,2272.1
